Symbol,Trades,Accuracy,Annual_Return,Avg_Holding_Days,Category
JAYSREETEA,6,0.0,-0.31135348947745956,167.0,Does NOT Follow
JETFREIGHT,7,71.42857142857143,0.8781054199992744,59.857142857142854,Follows SuperTrend
JINDALPHOT,6,83.33333333333334,0.6912838877450458,241.83333333333334,Follows SuperTrend
JINDALPOLY,5,20.0,-0.02404931569387192,171.6,Does NOT Follow
JINDALSTEL,6,50.0,0.17072310063677176,115.0,Follows SuperTrend
JINDRILL,6,50.0,0.29725256010706436,99.66666666666667,Follows SuperTrend
JISLJALEQS,5,40.0,0.13596808686823114,201.4,Moderate
JKPAPER,7,28.57142857142857,0.17909692677345967,148.14285714285714,Moderate
JMFINANCIL,5,60.0,0.13643700836557504,217.0,Moderate
JSL,5,40.0,0.6877689368745092,196.2,Moderate
JUSTDIAL,5,20.0,-0.21359830174332461,197.4,Does NOT Follow
KABRAEXTRU,5,20.0,-0.28622962913009886,274.2,Does NOT Follow
KAKATCEM,6,0.0,,153.16666666666666,Moderate
KALYANKJIL,5,40.0,0.5411898780909989,261.4,Moderate
KANPRPLA,5,20.0,-0.2286462734236694,154.6,Does NOT Follow
KCPSUGIND,5,40.0,-0.11765838729702427,289.8,Does NOT Follow
KEC,5,0.0,-0.5182020753115568,51.6,Does NOT Follow
KEEPLEARN,9,66.66666666666666,2.1705358116579414,64.33333333333333,Follows SuperTrend
KELLTONTEC,5,20.0,-0.15832881224533069,243.6,Does NOT Follow
KHADIM,6,50.0,0.008288203166896935,204.33333333333334,Moderate
KIRIINDUS,5,80.0,0.11583297340793886,277.0,Moderate
KIRLOSBROS,6,50.0,0.4722384046595185,129.83333333333334,Follows SuperTrend
KITEX,8,25.0,0.1821852815524445,160.625,Moderate
KMSUGAR,5,20.0,0.19438234052862557,227.0,Moderate
KOLTEPATIL,6,16.666666666666664,-0.45003049079710966,127.83333333333333,Does NOT Follow
KOPRAN,5,40.0,-0.07360747429509529,191.0,Does NOT Follow
KOTAKBANK,5,40.0,-0.030197398841187106,149.6,Does NOT Follow
KPIGREEN,5,80.0,0.8901877526822219,146.8,Follows SuperTrend
KPITTECH,6,50.0,-0.04152540306066932,101.33333333333333,Does NOT Follow
KRBL,6,33.33333333333333,0.18843056227215915,192.0,Moderate
KRIDHANINF,6,16.666666666666664,-0.26668310177890864,207.16666666666666,Does NOT Follow
KRISHIVAL,27,37.03703703703704,0.19634531439700353,30.074074074074073,Moderate
KRSNAA,6,50.0,-0.060889424178100615,201.83333333333334,Does NOT Follow
KSOLVES,9,55.55555555555556,0.49823784778903857,154.55555555555554,Follows SuperTrend
KTKBANK,5,40.0,0.48028776486846536,239.0,Moderate
LAKPRE,10,60.0,0.18700372850803015,124.9,Follows SuperTrend
LAURUSLABS,5,60.0,0.2614706449946944,180.0,Follows SuperTrend
LIBERTSHOE,5,40.0,0.03195834526572616,216.0,Moderate
LICHSGFIN,9,22.22222222222222,-0.12586537385017016,65.88888888888889,Does NOT Follow
LICI,5,60.0,0.22980751158599277,76.6,Follows SuperTrend
LIKHITHA,5,40.0,0.014366523910597673,171.8,Moderate
LINCOLN,5,40.0,-0.17713843216122083,146.6,Does NOT Follow
LODHA,5,40.0,0.26381316269512656,134.2,Moderate
LT,7,42.857142857142854,0.131171212265762,91.71428571428571,Moderate
LTIM,7,71.42857142857143,0.1641085052981177,112.0,Follows SuperTrend
LTTS,5,60.0,0.018794512673751873,205.8,Moderate
LUMAXIND,5,80.0,0.4345259888069848,131.8,Follows SuperTrend
LUXIND,5,40.0,-0.19029085688033953,214.0,Does NOT Follow
LXCHEM,7,14.285714285714285,-0.23048322577054448,113.28571428571429,Does NOT Follow
MAHABANK,7,42.857142857142854,0.0014393805875090315,134.0,Moderate
MAITHANALL,5,60.0,0.05383869831725163,139.2,Moderate
MALUPAPER,5,40.0,-0.22936358939497503,151.8,Does NOT Follow
MANALIPETC,6,16.666666666666664,-0.5429354181531112,80.66666666666667,Does NOT Follow
MANAPPURAM,7,28.57142857142857,-0.25641760755896015,100.71428571428571,Does NOT Follow
MANINDS,6,50.0,0.01648533832659349,147.5,Moderate
MARKSANS,5,40.0,0.24883456973068285,179.8,Moderate
MARUTI,5,80.0,0.1349400490721171,244.2,Moderate
MASTEK,5,40.0,0.1844641349238325,198.6,Moderate
MAZDOCK,7,57.14285714285714,0.5788896117948532,155.28571428571428,Follows SuperTrend
MCX,8,62.5,0.485532187219893,89.75,Follows SuperTrend
MEDICAMEQ,5,0.0,,133.6,Moderate
METROPOLIS,6,16.666666666666664,-0.45394397297577094,190.83333333333334,Does NOT Follow
MGL,8,37.5,-0.09468552131168029,98.625,Does NOT Follow
MICEL,9,55.55555555555556,0.3631310203328648,96.22222222222223,Follows SuperTrend
MIDHANI,6,50.0,0.15783500298837128,143.5,Follows SuperTrend
MKPL,15,46.666666666666664,2.199382245275401,48.2,Follows SuperTrend
MMTC,7,14.285714285714285,-0.262117399676317,131.71428571428572,Does NOT Follow
MOIL,7,42.857142857142854,0.32469085121423547,117.71428571428571,Moderate
MONTECARLO,5,60.0,0.08988498241650889,195.4,Moderate
MOTILALOFS,5,40.0,-0.1702140286318694,259.2,Does NOT Follow
MPSLTD,5,40.0,0.2820175822514843,165.8,Moderate
MRF,6,16.666666666666664,0.12034047887741273,111.5,Moderate
MSTCLTD,5,40.0,0.1519315702305195,132.0,Moderate
MTARTECH,7,14.285714285714285,0.0344322095143752,101.57142857142857,Moderate
MUTHOOTCAP,7,14.285714285714285,-0.8712084852597484,75.28571428571429,Does NOT Follow
NAHARPOLY,6,33.33333333333333,0.061315318731707924,263.5,Moderate
NARMADA,11,45.45454545454545,0.22537947504129696,74.54545454545455,Follows SuperTrend
